Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PER
Jack White,508891,SF,25,DEN,1.2,66,3.9,0.421,0.333,0.667,1.0,0.2,0.2,0.1,0.1,12.6
Buddy Boeheim,508891,SF,23,DET,1.6,90,9.0,0.185,0.16,1.0,0.6,0.4,0.2,0.0,0.0,0.5
Darius Days,508891,SF,23,HOU,3.8,25,6.3,0.417,0.3,1.0,1.5,0.3,0.0,0.3,0.0,18.3
Trevor Hudgins,508891,PG,23,HOU,1.8,28,5.6,0.222,0.25,1.0,0.0,0.6,0.0,0.0,0.2,4.2
Kendall Brown,508891,SG,19,IND,1.5,40,6.7,0.571,0.0,0.5,1.0,0.5,0.7,0.0,0.3,9.1
Cole Swider,508891,SF,23,LAL,1.3,41,5.9,0.333,0.375,,1.0,0.6,0.0,0.0,0.0,7.4
Jamal Cain,508891,PF,23,MIA,5.4,240,13.3,0.561,0.35,0.773,2.9,0.7,0.6,0.1,0.3,16.5
Luka Garza,508891,C,24,MIN,6.5,243,8.7,0.543,0.359,0.788,2.3,0.6,0.1,0.1,0.5,23.0
Kevon Harris,508891,SG,25,ORL,4.1,457,13.4,0.439,0.372,0.756,2.1,0.5,0.5,0.1,0.6,9.2
Keon Ellis,508891,SG,23,SAC,1.5,71,4.4,0.438,0.5,0.571,0.5,0.4,0.3,0.1,0.1,14.0
Neemias Queta,508891,C,23,SAC,2.4,29,5.8,0.667,,0.0,2.2,0.2,0.0,0.4,0.2,17.0
Dominick Barlow,508891,PF,19,SAS,3.9,408,14.6,0.535,0.0,0.72,3.6,0.9,0.4,0.7,0.5,12.4
Julian Champagnie,508891,SF,21,SAS/PHI,9.7,320,18.8,0.454,0.402,0.824,3.5,0.6,0.4,0.3,0.6,13.4
Jeff Dowtin,508891,PG,25,TOR,2.4,259,10.4,0.439,0.313,0.667,0.9,1.2,0.4,0.1,0.2,9.9
Micah Potter,508891,PF,24,UTA,3.4,52,7.4,0.667,0.571,,2.3,0.6,0.1,0.0,0.3,18.6
Johnny Juzang,508891,SG,21,UTA,4.8,232,12.9,0.337,0.238,0.5,2.2,0.4,0.2,0.2,0.2,6.5
John Butler,503041,C,20,POR,2.4,221,11.6,0.321,0.229,0.75,0.9,0.6,0.4,0.5,0.1,5.7
Chima Moneke,500000,SF,27,SAC,1.0,8,4.0,0.5,,0.0,1.0,0.5,0.0,0.0,1.0,-3.5
Facundo Campazzo,464299,PG,31,DAL,1.3,52,6.5,0.231,0.273,0.5,0.3,1.1,0.8,0.0,0.4,7.8
Orlando Robinson,386055,C,22,MIA,3.7,425,13.7,0.528,0.0,0.71,4.1,0.8,0.4,0.4,0.5,13.4
Dru Smith,374357,SG,25,BRK/MIA,2.9,158,10.5,0.4,0.263,1.0,1.6,1.5,0.7,0.3,0.2,11.4
Jared Rhoden,307089,SG,23,DET,3.2,198,14.1,0.386,0.25,1.0,2.6,0.3,0.3,0.1,0.2,6.5
Louis King,307089,PF,23,PHI,20.0,29,29.0,0.615,0.5,0.0,4.0,2.0,1.0,0.0,2.0,21.3
Jarrett Culver,260295,SF,23,ATL,4.4,137,13.7,0.395,0.083,0.692,3.8,0.6,0.6,0.2,0.7,9.5
Olivier Sarr,257371,C,23,OKC,4.0,114,12.7,0.5,0.125,0.714,3.4,0.4,0.1,0.6,0.4,11.5
Alondes Williams,254446,SG,23,BRK,0.0,5,5.0,,,,1.0,0.0,0.0,0.0,2.0,-20.9
Donovan Williams,239822,SG,21,ATL,2.0,4,2.0,0.4,0.0,,1.0,0.0,0.0,0.0,0.0,14.5
Quenton Jackson,219630,PG,24,WAS,6.2,135,15.0,0.452,0.083,0.773,0.9,1.7,0.4,0.1,0.4,12.2
Chris Silva,211045,PF,26,DAL,2.0,3,3.0,1.0,,,0.0,0.0,0.0,0.0,1.0,-2.2
Tyler Dorsey,201802,SF,26,DAL,3.0,8,2.7,0.8,0.5,,0.7,0.0,0.0,0.0,0.0,45.5
Braxton Key,201802,SF,25,DET,1.3,9,3.0,1.0,,1.0,0.3,0.0,0.0,0.0,0.0,18.6
Jordan Hall,193027,SF,21,SAS,3.1,83,9.2,0.321,0.2,0.778,1.3,1.2,0.1,0.0,0.8,5.5
Alize Johnson,192293,PF,26,SAS,1.8,30,7.5,0.5,0.0,0.5,2.5,0.3,0.3,0.0,1.0,4.3
Devon Dotson,169630,PG,23,WAS,0.5,53,8.8,0.1,0.25,,1.7,1.3,0.8,0.0,0.5,4.8
Mac McClung,160856,SG,24,PHI,12.5,41,20.5,0.45,0.364,0.6,5.0,4.5,0.0,0.0,1.5,19.2
Xavier Cooks,140384,PF,27,WAS,3.8,126,12.6,0.607,0.0,0.4,3.8,0.6,0.6,0.4,0.8,14.3
Shaquille Harrison,134862,SG,29,POR,8.8,120,24.0,0.417,0.3,0.733,4.4,6.0,2.2,0.4,1.2,17.9
Lester Quinones,129405,SG,22,GSW,2.5,18,4.5,0.4,0.5,0.667,0.8,0.5,0.3,0.0,1.3,8.6
Xavier Moon,116986,SG,28,LAC,1.8,20,5.0,0.333,0.333,,0.8,1.3,0.0,0.0,0.3,7.2
Jamaree Bouyea,116986,PG,23,MIA/WAS,3.0,71,14.2,0.429,0.333,0.5,1.2,0.8,0.8,0.4,0.8,6.5
Jay Huff,116986,C,24,WAS,7.3,95,13.6,0.6,0.5,0.938,3.0,1.4,0.4,0.6,0.7,22.3
